region,biweek,cases
R0_metro,0,88
R0_metro,1,115
R0_metro,2,177
R0_metro,3,328
R0_metro,4,643
R0_metro,5,1100
R0_metro,6,1738
R0_metro,7,2945
R0_metro,8,5071
R0_metro,9,8698
R0_metro,10,13787
R0_metro,11,19323
R0_metro,12,25459
R0_metro,13,28231
R0_metro,14,27874
R0_metro,15,25518
R0_metro,16,22214
R0_metro,17,18444
R0_metro,18,15014
R0_metro,19,12724
R0_metro,20,10629
R0_metro,21,9025
R0_metro,22,7705
R0_metro,23,6955
R0_metro,24,6938
R0_metro,25,6760
R0_metro,26,6834
R0_metro,27,7819
R0_metro,28,8809
R0_metro,29,9819
R0_metro,30,12115
R0_metro,31,14008
R0_metro,32,16518
R0_metro,33,18636
R0_metro,34,19973
R0_metro,35,18313
R0_metro,36,15324
R0_metro,37,11347
R0_metro,38,7842
R0_metro,39,5313
R0_metro,40,3631
R0_metro,41,2443
R0_metro,42,1402
R0_metro,43,730
R0_metro,44,482
R0_metro,45,294
R0_metro,46,154
R0_metro,47,61
R0_metro,48,14
R0_metro,49,27
R0_metro,50,42
R0_metro,51,7
R0_metro,52,0
R0_metro,53,7
R0_metro,54,14
R0_metro,55,5
R0_metro,56,1
R0_metro,57,0
R0_metro,58,0
R0_metro,59,0
R0_metro,60,4
R0_metro,61,10
R0_metro,62,0
R0_metro,63,0
R0_metro,64,0
R0_metro,65,0
R0_metro,66,5
R0_metro,67,1
R0_metro,68,0
R0_metro,69,4
R0_metro,70,7
R0_metro,71,0
R0_metro,72,0
R0_metro,73,0
R0_metro,74,0
R0_metro,75,0
R0_metro,76,0
R0_metro,77,0
R0_metro,78,3
R1_nw,0,0
R1_nw,1,0
R1_nw,2,0
R1_nw,3,0
R1_nw,4,8
R1_nw,5,10
R1_nw,6,1
R1_nw,7,14
R1_nw,8,7
R1_nw,9,35
R1_nw,10,70
R1_nw,11,286
R1_nw,12,456
R1_nw,13,508
R1_nw,14,792
R1_nw,15,923
R1_nw,16,1118
R1_nw,17,1241
R1_nw,18,1323
R1_nw,19,1420
R1_nw,20,1345
R1_nw,21,1430
R1_nw,22,1563
R1_nw,23,1442
R1_nw,24,1601
R1_nw,25,1825
R1_nw,26,2040
R1_nw,27,2251
R1_nw,28,2638
R1_nw,29,3056
R1_nw,30,3506
R1_nw,31,4115
R1_nw,32,4888
R1_nw,33,4581
R1_nw,34,4078
R1_nw,35,3353
R1_nw,36,2307
