region,week,cases
R0_metro,0,21
R0_metro,1,50
R0_metro,2,28
R0_metro,3,50
R0_metro,4,75
R0_metro,5,72
R0_metro,6,107
R0_metro,7,189
R0_metro,8,255
R0_metro,9,374
R0_metro,10,405
R0_metro,11,539
R0_metro,12,739
R0_metro,13,958
R0_metro,14,1138
R0_metro,15,1593
R0_metro,16,2074
R0_metro,17,2646
R0_metro,18,3294
R0_metro,19,4109
R0_metro,20,5069
R0_metro,21,5960
R0_metro,22,7029
R0_metro,23,8020
R0_metro,24,8816
R0_metro,25,9436
R0_metro,26,10133
R0_metro,27,10569
R0_metro,28,10449
R0_metro,29,10141
R0_metro,30,9849
R0_metro,31,9195
R0_metro,32,8575
R0_metro,33,8048
R0_metro,34,7656
R0_metro,35,6932
R0_metro,36,6318
R0_metro,37,5708
R0_metro,38,5356
R0_metro,39,5096
R0_metro,40,4957
R0_metro,41,4624
R0_metro,42,4160
R0_metro,43,3766
R0_metro,44,3659
R0_metro,45,3610
R0_metro,46,3561
R0_metro,47,3627
R0_metro,48,3862
R0_metro,49,3943
R0_metro,50,4047
R0_metro,51,4090
R0_metro,52,4493
R0_metro,53,4704
R0_metro,54,4948
R0_metro,55,5349
R0_metro,56,5556
R0_metro,57,6009
R0_metro,58,6490
R0_metro,59,7119
R0_metro,60,7865
R0_metro,61,8608
R0_metro,62,9310
R0_metro,63,9788
R0_metro,64,10903
R0_metro,65,11765
R0_metro,66,12294
R0_metro,67,12906
R0_metro,68,13148
R0_metro,69,13202
R0_metro,70,13170
R0_metro,71,12407
R0_metro,72,11763
R0_metro,73,10503
R0_metro,74,9326
R0_metro,75,8027
R0_metro,76,6456
R0_metro,77,5415
R0_metro,78,4283
R0_metro,79,3275
R0_metro,80,2534
R0_metro,81,1938
R0_metro,82,1430
R0_metro,83,1151
R0_metro,84,814
R0_metro,85,578
R0_metro,86,391
R0_metro,87,290
R0_metro,88,255
R0_metro,89,165
R0_metro,90,144
R0_metro,91,71
R0_metro,92,54
R0_metro,93,44
R0_metro,94,13
R0_metro,95,19
R0_metro,96,7
R0_metro,97,6
R0_metro,98,0
R0_metro,99,6
R0_metro,100,4
R0_metro,101,0
R0_metro,102,0
R0_metro,103,3
R0_metro,104,7
R0_metro,105,8
R0_metro,106,2
R0_metro,107,0
R0_metro,108,0
R0_metro,109,0
R0_metro,110,0
R0_metro,111,0
R0_metro,112,0
R0_metro,113,0
R0_metro,114,0
R0_metro,115,0
R0_metro,116,0
R0_metro,117,0
R0_metro,118,0
R0_metro,119,0
R0_metro,120,0
R0_metro,121,0
R0_metro,122,0
R0_metro,123,0
R0_metro,124,0
R0_metro,125,0
R0_metro,126,0
R0_metro,127,0
R0_metro,128,2
R0_metro,129,4
R0_metro,130,6
R0_metro,131,4
R0_metro,132,4
R0_metro,133,11
R0_metro,134,15
R0_metro,135,1
R0_metro,136,0
R0_metro,137,0
R0_metro,138,0
R0_metro,139,0
R0_metro,140,7
R0_metro,141,5
R0_metro,142,9
R0_metro,143,3
R0_metro,144,7
R0_metro,145,7
R0_metro,146,7
R0_metro,147,5
R0_metro,148,0
R0_metro,149,0
R0_metro,150,0
R0_metro,151,0
R0_metro,152,0
R0_metro,153,0
R0_metro,154,0
R0_metro,155,0
R0_metro,156,0
R1_nw,0,0
R1_nw,1,0
R1_nw,2,0
R1_nw,3,0
R1_nw,4,0
R1_nw,5,0
R1_nw,6,0
R1_nw,7,0
R1_nw,8,0
R1_nw,9,0
R1_nw,10,0
R1_nw,11,2
R1_nw,12,7
R1_nw,13,0
R1_nw,14,6
R1_nw,15,9
R1_nw,16,23
R1_nw,17,25
R1_nw,18,18
R1_nw,19,21
R1_nw,20,44
R1_nw,21,31
R1_nw,22,53
R1_nw,23,44
R1_nw,24,86
R1_nw,25,149
R1_nw,26,187
R1_nw,27,191
R1_nw,28,202
R1_nw,29,196
R1_nw,30,197
R1_nw,31,276
R1_nw,32,370
R1_nw,33,425
R1_nw,34,417
R1_nw,35,385
R1_nw,36,436
R1_nw,37,368
R1_nw,38,406
R1_nw,39,376
R1_nw,40,411
R1_nw,41,408
R1_nw,42,307
R1_nw,43,331
R1_nw,44,423
R1_nw,45,424
R1_nw,46,468
R1_nw,47,477
R1_nw,48,518
R1_nw,49,510
R1_nw,50,481
R1_nw,51,416
R1_nw,52,523
R1_nw,53,666
R1_nw,54,675
R1_nw,55,705
R1_nw,56,923
R1_nw,57,1066
R1_nw,58,1157
R1_nw,59,1346
R1_nw,60,1416
R1_nw,61,1665
R1_nw,62,1840
R1_nw,63,1912
R1_nw,64,2075
R1_nw,65,2372
R1_nw,66,2481
R1_nw,67,2384
R1_nw,68,2263
R1_nw,69,2105
R1_nw,70,2031
R1_nw,71,1711
R1_nw,72,1669
R1_nw,73,1497
R1_nw,74,1296
R1_nw,75,1045
R1_nw,76,1019
R1_nw,77,1036
R1_nw,78,990
R1_nw,79,781
R1_nw,80,663
R1_nw,81,560
R1_nw,82,478
R1_nw,83,418
R1_nw,84,390
R1_nw,85,414
R1_nw,86,251
R1_nw,87,200
R1_nw,88,130
R1_nw,89,98
R1_nw,90,81
R1_nw,91,78
R1_nw,92,32
R1_nw,93,50
R1_nw,94,6
R1_nw,95,0
R1_nw,96,4
R1_nw,97,2
R1_nw,98,0
R1_nw,99,0
R1_nw,100,0
R1_nw,101,0
R1_nw,102,0
R1_nw,103,0
R1_nw,104,0
R1_nw,105,0
R1_nw,106,0
R1_nw,107,0
R1_nw,108,0
R1_nw,109,0
R1_nw,110,0
R1_nw,111,0
R1_nw,112,0
R1_nw,113,0
R1_nw,114,0
R1_nw,115,0
R1_nw,116,0
R1_nw,117,0
R1_nw,118,0
R1_nw,119,0
R1_nw,120,0
R1_nw,121,0
R1_nw,122,0
R1_nw,123,0
R1_nw,124,0
R1_nw,125,0
R1_nw,126,0
R1_nw,127,0
R1_nw,128,0
R1_nw,129,0
R1_nw,130,0
R1_nw,131,0
R1_nw,132,0
R1_nw,133,0
R1_nw,134,0
R1_nw,135,0
R1_nw,136,0
R1_nw,137,0
R1_nw,138,0
R1_nw,139,0
R1_nw,140,0
R1_nw,141,0
R1_nw,142,0
R1_nw,143,0
R1_nw,144,0
R1_nw,145,0
R1_nw,146,0
R1_nw,147,0
R1_nw,148,0
R1_nw,149,0
R1_nw,150,0
R1_nw,151,0
R1_nw,152,0
R1_nw,153,0
R1_nw,154,0
R1_nw,155,0
R1_nw,156,0
R2_ne,0,0
R2_ne,1,0
R2_ne,2,0
R2_ne,3,0
R2_ne,4,0
R2_ne,5,0
R2_ne,6,0
R2_ne,7,0
R2_ne,8,0
R2_ne,9,0
R2_ne,10,0
R2_ne,11,0
R2_ne,12,0
R2_ne,13,0
R2_ne,14,0
R2_ne,15,0
R2_ne,16,0
R2_ne,17,12
R2_ne,18,18
