region,biweek,mean,sd,q10,q50,q90
R0_metro,0,83.0,10.55146119422961,71.0,88.0,94.0
R0_metro,1,135.6,47.74981093621675,78.0,137.0,165.0
R0_metro,2,249.1,93.14439208979668,147.0,250.0,339.0
R0_metro,3,516.6,191.19286365110784,296.0,567.0,686.0
R0_metro,4,1003.5,342.60124213305346,637.0,1178.0,1369.0
R0_metro,5,1680.1,639.2527669083646,967.0,1935.0,2352.0
R0_metro,6,2786.7,900.1815927911435,1738.0,3226.0,3818.0
R0_metro,7,4691.1,1461.9394614309065,2945.0,5301.0,6341.0
R0_metro,8,7697.7,2243.827238843886,5071.0,8169.0,10234.0
R0_metro,9,11810.8,3067.4649250915113,8698.0,12252.0,15788.0
R0_metro,10,17153.6,3645.269878745453,13787.0,17853.0,21018.0
R0_metro,11,21838.8,3620.4344061022416,19323.0,21564.0,25277.0
R0_metro,12,25362.8,3377.410243893323,23194.0,25459.0,29668.0
R0_metro,13,26253.7,3407.7318311940767,23130.0,27631.0,29571.0
R0_metro,14,25314.4,3164.344488901998,22487.0,25235.0,29295.0
R0_metro,15,22920.1,2613.2446179669696,20285.0,22573.0,25709.0
R0_metro,16,20145.1,1986.6898460616453,18152.0,20131.0,22214.0
R0_metro,17,17446.5,1593.574894520005,16316.0,17547.0,19085.0
R0_metro,18,14821.9,1663.3339645957385,13264.0,15014.0,16825.0
R0_metro,19,12757.8,1489.0770295723457,11719.0,12444.0,15106.0
R0_metro,20,11107.7,1313.1678449036476,9707.0,10751.0,13268.0
R0_metro,21,9427.9,1188.2873249625554,8082.0,9481.0,10765.0
R0_metro,22,8276.7,1036.5591637721407,7269.0,8168.0,9258.0
R0_metro,23,7598.3,903.0860731710767,6752.0,7463.0,8287.0
R0_metro,24,7430.7,833.8967495373087,6459.0,7714.0,8100.0
R0_metro,25,7425.3,854.2830717430066,6691.0,7348.0,8413.0
R0_metro,26,7581.3,910.1813067247161,6737.0,7196.0,8457.0
R0_metro,27,8329.5,1149.1048931910245,7091.0,8386.0,9807.0
R0_metro,28,9292.8,1271.8437010890923,8347.0,8922.0,10947.0
