region,week,mean,sd,q10,q50,q90
R0_metro,0,25.272727272727273,4.474168282282397,22.0,25.0,31.0
R0_metro,1,87.72727272727273,12.82256533686539,73.0,89.0,101.0
R0_metro,2,98.9090909090909,21.215346075209546,81.0,92.0,132.0
R0_metro,3,120.81818181818181,31.7736311485426,92.0,106.0,164.0
R0_metro,4,156.72727272727272,36.083489047183086,118.0,155.0,195.0
R0_metro,5,172.0,47.02552498377876,129.0,161.0,220.0
R0_metro,6,202.1818181818182,46.62578295711114,158.0,203.0,251.0
R0_metro,7,214.72727272727272,47.6342123039542,167.0,207.0,284.0
R0_metro,8,236.0,53.70847232979169,187.0,211.0,311.0
R0_metro,9,258.09090909090907,41.2006178241408,197.0,267.0,301.0
R0_metro,10,298.90909090909093,62.50512706243312,231.0,308.0,350.0
R0_metro,11,332.54545454545456,49.76015200210634,259.0,336.0,384.0
R0_metro,12,368.1818181818182,68.23022524045804,289.0,380.0,448.0
R0_metro,13,348.6363636363636,71.18465105241822,268.0,361.0,428.0
R0_metro,14,396.09090909090907,91.22768718481747,275.0,398.0,493.0
R0_metro,15,445.90909090909093,105.09848195426473,328.0,463.0,557.0
R0_metro,16,502.54545454545456,119.44820102150022,344.0,489.0,671.0
R0_metro,17,535.5454545454545,114.47826312131366,390.0,546.0,639.0
R0_metro,18,502.54545454545456,96.06181721825132,378.0,503.0,548.0
R0_metro,19,497.0,82.91200154380546,390.0,500.0,566.0
R0_metro,20,528.6363636363636,85.78026897518185,451.0,505.0,618.0
R0_metro,21,543.6363636363636,80.25244261363355,445.0,559.0,634.0
R0_metro,22,502.54545454545456,80.39945725732684,394.0,519.0,576.0
R0_metro,23,459.54545454545456,68.08430602769427,401.0,445.0,533.0
R0_metro,24,457.27272727272725,64.13437597590065,410.0,454.0,487.0
R0_metro,25,436.90909090909093,63.309485143151406,388.0,420.0,485.0
R0_metro,26,416.45454545454544,51.51963438605448,347.0,410.0,489.0
R0_metro,27,373.1818181818182,63.14399129262924,289.0,369.0,440.0
R0_metro,28,352.1818181818182,50.50112509997809,285.0,351.0,412.0
R0_metro,29,349.6363636363636,52.87016687560712,304.0,333.0,413.0
R0_metro,30,328.6363636363636,52.225037534256934,287.0,315.0,395.0
R0_metro,31,297.6363636363636,43.97788700534105,260.0,291.0,338.0
R0_metro,32,255.45454545454547,43.40821036708065,219.0,258.0,313.0
R0_metro,33,243.1818181818182,50.35636639357169,191.0,233.0,301.0
R0_metro,34,253.45454545454547,60.276635002899155,186.0,242.0,319.0
R0_metro,35,225.36363636363637,47.69124181078267,170.0,221.0,268.0
R0_metro,36,208.9090909090909,54.078562380031045,154.0,207.0,251.0
R0_metro,37,178.54545454545453,34.10385208847715,140.0,180.0,215.0
R0_metro,38,160.0909090909091,34.80935088580236,141.0,151.0,203.0
R0_metro,39,163.36363636363637,33.17008509869315,122.0,157.0,209.0
R0_metro,40,169.0,21.908902300206645,144.0,170.0,192.0
R0_metro,41,165.63636363636363,23.423376047328127,134.0,165.0,191.0
R0_metro,42,160.36363636363637,23.87162636802413,133.0,154.0,191.0
R0_metro,43,159.36363636363637,37.89267139506722,117.0,165.0,203.0
R0_metro,44,180.45454545454547,35.62123983345789,137.0,181.0,207.0
R0_metro,45,182.63636363636363,40.64301348884634,136.0,172.0,226.0
R0_metro,46,178.36363636363637,42.83753664083109,127.0,167.0,236.0
R0_metro,47,179.8181818181818,33.88161206854887,141.0,185.0,220.0
R0_metro,48,173.72727272727272,21.82700579140854,159.0,176.0,194.0
R0_metro,49,175.9090909090909,18.190407062265237,161.0,173.0,196.0
R0_metro,50,204.72727272727272,31.135481075746714,159.0,208.0,235.0
R0_metro,51,211.9090909090909,23.889137889235542,179.0,224.0,233.0
R0_metro,52,209.0,26.899814125751874,178.0,207.0,242.0
R0_metro,53,204.54545454545453,26.830444037934356,185.0,191.0,251.0
R0_metro,54,217.8181818181818,36.389059294843506,173.0,216.0,259.0
R0_metro,55,206.8181818181818,39.216879482738506,160.0,222.0,248.0
R0_metro,56,211.1818181818182,39.521685646789365,167.0,203.0,255.0
R0_metro,57,211.72727272727272,38.797141412972444,164.0,218.0,255.0
R0_metro,58,242.8181818181818,47.86819023489019,191.0,263.0,295.0
R0_metro,59,240.1818181818182,48.21787673014684,193.0,232.0,303.0
R0_metro,60,231.27272727272728,50.57685421038148,195.0,212.0,300.0
R0_metro,61,258.6363636363636,53.443938341542015,214.0,252.0,298.0
R0_metro,62,248.0909090909091,44.51394061517031,223.0,244.0,319.0
R0_metro,63,263.27272727272725,50.53135840068207,200.0,259.0,337.0
R0_metro,64,289.0,64.31018581842227,210.0,283.0,359.0
R0_metro,65,274.09090909090907,67.21823345708299,216.0,265.0,331.0
R0_metro,66,282.09090909090907,89.33247398953478,218.0,264.0,367.0
R0_metro,67,306.45454545454544,69.3373833315963,239.0,285.0,402.0
R0_metro,68,324.6363636363636,80.86194745029671,248.0,337.0,429.0
R0_metro,69,355.72727272727275,83.83208324870724,212.0,388.0,429.0
R0_metro,70,393.27272727272725,94.53791928013958,268.0,398.0,500.0
R0_metro,71,395.27272727272725,85.84764517340113,311.0,411.0,497.0
R0_metro,72,388.1818181818182,74.38389366229516,327.0,395.0,474.0
R0_metro,73,360.45454545454544,74.13145572071768,319.0,348.0,441.0
R0_metro,74,391.09090909090907,86.95223349110077,320.0,397.0,493.0
R0_metro,75,431.45454545454544,82.47104174965128,388.0,444.0,531.0
