day,mean_S,sd_S,mean_I,sd_I,mean_R,sd_R
0,66704.4,8.731551981177228,0.0,0.0,933296.3,8.46226919921601
1,66781.5,13.901438774457844,0.0,0.0,933222.8,8.986656775464388
2,66857.2,14.253420642077465,0.0,0.0,933149.1,11.148542505637229
3,66927.6,20.79519175194112,0.0,0.0,933073.0,13.3566462856512
4,67002.0,24.653600142778334,0.0,0.0,933000.5,16.469669092000604
5,67077.2,28.396478654931848,0.0,0.0,932929.9,18.598118184375533
6,67151.2,28.68727941091661,0.0,0.0,932855.7,26.814361823470644
7,67226.1,35.27449503536514,0.0,0.0,932781.9,30.137849956491586
8,67305.4,32.647205087112745,0.1,0.30000000000000004,932702.2,32.72858078194042
9,67379.9,37.73711700699989,0.3,0.45825756949558405,932624.4,36.38736044287906
10,67456.3,36.554206324306925,0.5,0.6708203932499369,932546.8,33.21084160330779
11,67529.5,37.24580513292739,0.5,0.6708203932499369,932466.7,33.66615511162509
12,67599.0,36.565010597564445,0.5,0.6708203932499369,932389.6,35.93382807327936
13,67671.7,40.207088927202875,0.9,1.2206555615733703,932316.8,31.946204782415077
14,67738.9,44.0169285616341,0.7,1.004987562112089,932243.7,34.73341330764945
15,67813.4,48.59053405757134,0.9,0.8306623862918076,932161.3,35.56697906766893
16,67884.4,45.67318688245873,1.2,0.9797958971132712,932082.1,36.64000545851487
17,67959.8,49.160553292248444,2.7,2.7586228448267445,932006.1,39.77046642924873
18,68028.5,49.58679259641624,4.2,4.284857057125709,931932.8,40.909167676695645
19,68086.9,60.47718578108608,5.9,6.640030120413612,931856.0,40.76763422127902
20,68139.8,82.54307966147131,7.6,9.178235124467014,931781.4,41.75452071333115
21,68189.7,105.82537502886535,9.9,11.596982366115764,931705.6,39.992999387392786
22,68230.1,149.87758338057097,10.6,13.23026832683298,931633.2,41.607210913494306
23,68271.2,189.4021119206436,11.8,12.631706139710504,931559.9,41.62559308886781
24,68304.4,232.1452993278132,13.5,13.06330739131557,931479.0,42.581686204282704
25,68328.6,287.8354390967172,21.1,19.531768993104542,931406.3,41.31355709691432
26,68327.9,340.832348816834,33.4,31.8,931333.5,36.71035276321926
27,68290.5,431.30806855425277,51.5,52.47904343640421,931260.9,35.811869540698375
28,68202.8,597.5718868889332,76.3,84.74320031719358,931188.1,35.393360959366376
29,68037.8,865.8462681099919,108.1,122.48710136173523,931115.4,35.217041329447305
30,67792.5,1258.6620872974604,132.0,151.2170625293323,931053.0,40.75291400624009
31,67479.8,1753.6700259740996,155.8,179.60668139019774,930993.4,52.579844046934944
32,67140.5,2275.6244967041466,185.8,208.82902097170307,930937.0,80.14861196552314
33,66731.8,2826.3340849942,228.5,234.55926756365864,930890.9,113.91527553405645
34,66251.5,3414.2945171733504,301.4,288.0084026552003,930849.3,150.99142359750104
35,65657.9,4035.3276558415923,432.9,419.836742079585,930803.1,183.7821808554899
36,64874.3,4804.519748112188,631.9,647.3733775805118,930769.3,220.4935599966584
37,63841.4,5851.198325129649,900.6,993.6721994702277,930743.5,273.14730458124603
38,62563.5,7219.5235057446835,1216.5,1427.710562404019,930741.0,332.69986474298423
39,61061.7,8855.165622957033,1520.9,1856.5413246141331,930772.5,430.66791150490883
40,59467.0,10486.385955132493,1839.6,2246.179075674956,930863.1,598.5768872918499
41,57779.9,11895.118363849937,2157.6,2580.1194235926364,931022.0,871.162671376592
42,56047.3,13049.944483023673,2507.9,2821.0774342438744,931266.2,1262.4760433370607
43,54287.3,13954.521525656119,2980.7,3099.139462818671,931574.8,1748.6474659004314
44,52399.0,14633.611912306544,3677.6,3623.6401918512825,931915.7,2264.480207464839
45,50359.4,15242.518336547935,4547.9,4424.07326905873,932321.3,2806.9991467757877
46,48130.5,15832.652217806088,5566.4,5452.063044389711,932801.4,3389.4522625344644
