patch_id,patch_idx,lat,lon,mean_onset_day,sd_onset_day
patch_x0_y0,0,0.0,0.0,40.4,4.498888751680798
patch_x1_y0,1,0.0,1.0,38.0,6.099180272790763
patch_x2_y0,2,0.0,2.0,38.6,3.104834939252004
patch_x3_y0,3,0.0,3.0,39.3,2.491987158875422
patch_x4_y0,4,0.0,4.0,36.4,4.2
patch_x5_y0,5,0.0,5.0,38.4,3.6660605559646715
patch_x6_y0,6,0.0,6.0,38.4,1.4966629547095764
patch_x7_y0,7,0.0,7.0,40.0,1.1832159566199232
patch_x8_y0,8,0.0,8.0,40.2,1.536229149573722
patch_x9_y0,9,0.0,9.0,40.0,2.23606797749979
patch_x0_y1,10,1.0,0.0,39.1,4.011234224026316
patch_x1_y1,11,1.0,1.0,34.3,2.72213151776324
patch_x2_y1,12,1.0,2.0,33.0,1.1832159566199232
patch_x3_y1,13,1.0,3.0,32.5,0.6708203932499369
patch_x4_y1,14,1.0,4.0,31.8,1.8867962264113207
patch_x5_y1,15,1.0,5.0,31.8,1.3266499161421599
patch_x6_y1,16,1.0,6.0,32.1,1.1357816691600546
patch_x7_y1,17,1.0,7.0,32.4,0.4898979485566356
patch_x8_y1,18,1.0,8.0,33.2,1.16619037896906
patch_x9_y1,19,1.0,9.0,34.7,2.1931712199461306
patch_x0_y2,20,2.0,0.0,36.7,3.5227829907617076
patch_x1_y2,21,2.0,1.0,32.4,2.9732137494637008
patch_x2_y2,22,2.0,2.0,26.7,1.7349351572897471
patch_x3_y2,23,2.0,3.0,24.9,1.1357816691600546
patch_x4_y2,24,2.0,4.0,24.3,0.6403124237432849
patch_x5_y2,25,2.0,5.0,24.3,0.6403124237432849
patch_x6_y2,26,2.0,6.0,24.5,0.5
patch_x7_y2,27,2.0,7.0,24.9,0.9433981132056604
patch_x8_y2,28,2.0,8.0,26.4,2.009975124224178
patch_x9_y2,29,2.0,9.0,33.6,1.1135528725660042
patch_x0_y3,30,3.0,0.0,38.1,2.6248809496813372
patch_x1_y3,31,3.0,1.0,32.2,2.2271057451320084
patch_x2_y3,32,3.0,2.0,25.4,1.562049935181331
patch_x3_y3,33,3.0,3.0,18.1,2.071231517720798
patch_x4_y3,34,3.0,4.0,16.6,0.9165151389911679
patch_x5_y3,35,3.0,5.0,16.4,0.66332495807108
patch_x6_y3,36,3.0,6.0,16.8,0.8717797887081349
patch_x7_y3,37,3.0,7.0,17.2,1.16619037896906
patch_x8_y3,38,3.0,8.0,25.4,1.0198039027185568
patch_x9_y3,39,3.0,9.0,32.5,0.806225774829855
patch_x0_y4,40,4.0,0.0,37.7,4.196427051671457
patch_x1_y4,41,4.0,1.0,32.1,1.8138357147217055
patch_x2_y4,42,4.0,2.0,24.6,0.66332495807108
patch_x3_y4,43,4.0,3.0,17.3,1.004987562112089
patch_x4_y4,44,4.0,4.0,9.1,1.5132745950421556
patch_x5_y4,45,4.0,5.0,9.0,1.1832159566199232
patch_x6_y4,46,4.0,6.0,8.7,1.1874342087037917
patch_x7_y4,47,4.0,7.0,17.0,1.0
patch_x8_y4,48,4.0,8.0,24.4,0.66332495807108
patch_x9_y4,49,4.0,9.0,32.4,0.8
patch_x0_y5,50,5.0,0.0,36.8,6.177378084592201
patch_x1_y5,51,5.0,1.0,31.6,1.9595917942265424
patch_x2_y5,52,5.0,2.0,24.8,0.6
patch_x3_y5,53,5.0,3.0,16.5,0.6708203932499369
patch_x4_y5,54,5.0,4.0,10.2,2.181742422927143
patch_x5_y5,55,5.0,5.0,0.0,0.0
patch_x6_y5,56,5.0,6.0,8.4,0.9165151389911681
patch_x7_y5,57,5.0,7.0,16.4,0.4898979485566356
patch_x8_y5,58,5.0,8.0,24.7,0.7810249675906655
patch_x9_y5,59,5.0,9.0,32.4,0.4898979485566356
patch_x0_y6,60,6.0,0.0,37.7,3.7429934544425802
patch_x1_y6,61,6.0,1.0,32.1,1.4456832294800963
patch_x2_y6,62,6.0,2.0,24.6,0.4898979485566356
patch_x3_y6,63,6.0,3.0,16.7,0.9
patch_x4_y6,64,6.0,4.0,8.5,0.5
patch_x5_y6,65,6.0,5.0,8.7,1.1874342087037917
patch_x6_y6,66,6.0,6.0,9.7,2.491987158875423
patch_x7_y6,67,6.0,7.0,17.1,0.9433981132056604
patch_x8_y6,68,6.0,8.0,24.3,0.6403124237432849
patch_x9_y6,69,6.0,9.0,32.5,0.6708203932499369
patch_x0_y7,70,7.0,0.0,39.4,1.562049935181331
patch_x1_y7,71,7.0,1.0,32.7,0.45825756949558394
patch_x2_y7,72,7.0,2.0,24.9,0.8306623862918073
patch_x3_y7,73,7.0,3.0,17.3,1.0999999999999999
patch_x4_y7,74,7.0,4.0,16.8,0.4
patch_x5_y7,75,7.0,5.0,16.2,0.39999999999999997
patch_x6_y7,76,7.0,6.0,16.5,0.5
patch_x7_y7,77,7.0,7.0,18.8,2.6381811916545836
patch_x8_y7,78,7.0,8.0,25.3,1.676305461424021
patch_x9_y7,79,7.0,9.0,32.4,0.66332495807108
patch_x0_y8,80,8.0,0.0,38.6,3.878143885933063
patch_x1_y8,81,8.0,1.0,33.0,1.0
patch_x2_y8,82,8.0,2.0,25.8,1.3266499161421597
patch_x3_y8,83,8.0,3.0,25.4,0.9165151389911681
patch_x4_y8,84,8.0,4.0,24.4,0.4898979485566356
patch_x5_y8,85,8.0,5.0,24.3,0.45825756949558394
patch_x6_y8,86,8.0,6.0,24.4,0.4898979485566356
patch_x7_y8,87,8.0,7.0,24.9,1.1357816691600546
patch_x8_y8,88,8.0,8.0,27.1,2.5475478405713994
patch_x9_y8,89,8.0,9.0,33.7,1.5524174696260025
patch_x0_y9,90,9.0,0.0,39.9,2.022374841615669
patch_x1_y9,91,9.0,1.0,34.2,1.2489995996796797
patch_x2_y9,92,9.0,2.0,33.2,1.0770329614269007
patch_x3_y9,93,9.0,3.0,32.3,0.45825756949558405
patch_x4_y9,94,9.0,4.0,32.6,0.66332495807108
patch_x5_y9,95,9.0,5.0,32.1,0.8306623862918076
patch_x6_y9,96,9.0,6.0,32.2,0.8717797887081346
patch_x7_y9,97,9.0,7.0,32.8,0.7483314773547882
patch_x8_y9,98,9.0,8.0,33.1,1.3
patch_x9_y9,99,9.0,9.0,35.5,2.7658633371878665
